Protein,Len,S0,S0,S1,S1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
m.6046,318,1,2,1,2,8.715,1.4343,0.839516,0.460579,0.83199
m.6058,1126,1,2,0,0,4.856,0.753,1,0.765612,0.810709
m.606,401,14,15,14,15,-3.14,-0.636,0.809776,0.908667,0.516988
m.6062,535,7,8,6,6,-5.315,-1.0398,0.602608,0.881453,0.380761
m.6067,290,2,3,0,2,13.863,1.5073,0.794858,0.421334,0.831868
m.6076,413,0,0,0,0,0.874,0.1846,0.999988,0.878042,0.745139
m.6093,277,0,1,0,1,6.748,0.6459,1,0.795917,0.802526
m.6098,224,0,0,0,1,-5.601,-0.9394,0.650242,0.889342,0.414
m.611,550,6,5,3,6,3.659,0.6191,1,0.802689,0.800233
m.6130,287,17,17,9,10,-14.575,-4.3989,0.000045,0.800951,0.000038
m.12589,426,1,2,2,4,-5.116,-0.9588,0.640715,0.887838,0.407544
m.6137,829,2,1,1,1,10.015,0.9599,0.978206,0.692331,0.822263
m.6149,834,5,8,5,7,1.275,0.1471,0.999956,0.882233,0.738416
m.6153,459,4,4,3,5,1.67,0.3345,1,0.858215,0.768516
m.6160,246,13,13,4,7,-2.522,-0.4912,0.880014,0.913127,0.566075
m.6161,297,1,4,0,1,3.014,0.4311,1,0.842363,0.780944
m.6174,243,18,22,17,22,-5.427,-2.7254,0.05673,0.805914,0.025252
m.6192,463,18,16,12,7,-3.604,-1.0154,0.613815,0.883387,0.388801
m.6207,485,1,3,0,0,2.965,0.4,1,0.847763,0.777148
m.6208,1190,0,0,0,0,-10.987,-1.0468,0.599432,0.880898,0.378459
m.6212,640,40,42,19,28,-1.652,-0.4339,0.904533,0.913753,0.585041
m.12606,311,1,1,0,0,11.735,1.4946,0.803235,0.428123,0.831917
m.6219,1290,3,2,0,2,3.859,0.6628,1,0.791486,0.803919
m.6233,239,3,5,2,4,6.322,1.7664,0.585995,0.292612,0.828549
m.6235,1030,0,1,1,1,0.274,0.0498,0.999711,0.891893,0.719147
m.625,931,0,0,0,1,-10.785,-0.8533,0.694255,0.895774,0.442875
m.6258,470,3,3,2,3,3.24,0.4221,1,0.843956,0.779865
m.6266,564,17,15,7,11,5.481,0.9387,0.980981,0.700706,0.821326
m.6279,328,0,2,0,0,-0.113,-0.0101,0.998153,0.897026,0.705905
m.628,379,1,4,1,3,-5.588,-0.9458,0.647082,0.888847,0.411868
m.1261,196,1,2,1,1,1.035,0.1616,0.999948,0.880645,0.74106
m.631,168,0,1,0,0,-1.948,-0.2426,0.967108,0.91077,0.644758
m.6338,688,0,0,0,0,-6.518,-0.6444,0.805431,0.908293,0.514113
m.6354,185,4,4,2,3,14.293,1.4226,0.845889,0.466895,0.831974
m.6361,1066,13,13,9,11,3.643,0.3897,1,0.849488,0.775849
m.6363,693,2,2,1,4,0.488,0.1039,1,0.886728,0.730196
m.637,726,0,3,4,3,-14.902,-1.9104,0.244404,0.826065,0.130861
m.6370,313,18,18,8,13,1.506,0.1951,1,0.876818,0.746955
m.6400,282,1,1,0,2,-5.995,-0.9576,0.641301,0.887931,0.407942
m.6404,402,3,3,0,2,-3.023,-0.3816,0.924801,0.91372,0.601993
m.6408,422,0,0,0,1,-12.118,-1.0767,0.586038,0.878527,0.368646
m.10132,182,1,2,1,3,-0.095,-0.0115,0.998094,0.897139,0.705583
m.12641,187,2,1,0,0,-5.096,-0.6813,0.7861,0.906512,0.501475
m.6410,391,0,1,0,1,-2.66,-0.4982,0.87687,0.913004,0.563734
m.6414,454,4,5,2,3,0.817,0.1783,0.999967,0.878766,0.744036
m.6433,288,0,0,0,0,-3.143,-0.2661,0.96122,0.911559,0.637802
m.6495,278,2,3,1,3,2.282,0.3624,1,0.85391,0.772301
m.650,554,6,6,4,4,-6.008,-0.9611,0.639597,0.887658,0.406779
m.6505,217,0,1,0,1,-9.616,-1.9529,0.22905,0.824343,0.121908
m.651,113,6,6,5,7,4.373,0.5483,1,0.819161,0.793657
m.6511,281,8,10,5,6,-4.861,-1.4042,0.443628,0.854016,0.264454
m.6516,603,1,2,0,2,1.119,0.1863,0.999991,0.877846,0.745435
m.6522,302,17,19,6,4,13.598,3.402,0.009879,0.002515,0.805683
m.12642,195,33,33,19,24,0.332,0.046,0.999659,0.892236,0.718339
m.6524,587,24,25,17,18,12.721,2.7704,0.099022,0.028038,0.810497
m.6525,168,2,2,1,2,-11.002,-1.4427,0.426988,0.851402,0.25288
m.6534,473,1,0,0,1,-0.388,-0.0426,0.996468,0.899554,0.698273
m.6554,533,14,20,6,8,-11.869,-3.135,0.020611,0.80311,0.007379
m.6562,225,1,2,0,2,0.458,0.0597,0.999821,0.890985,0.721233
m.657,677,6,8,6,12,-6.152,-0.9833,0.62891,0.88592,0.399414
m.6574,602,8,10,6,10,6.134,1.2231,0.926063,0.572255,0.830074
m.6603,632,2,2,2,3,3.657,0.5659,1,0.815251,0.795365
m.6613,526,0,0,0,0,-2.137,-0.451,0.897453,0.913638,0.57942
m.6614,1203,6,7,4,6,8.388,1.5133,0.79081,0.418134,0.83184
m.12648,162,1,1,0,0,-6.238,-1.0156,0.613723,0.883371,0.388735
m.6620,708,2,4,0,1,7.476,0.9651,0.977507,0.690246,0.822485
m.6630,215,0,1,0,0,2.249,0.2515,1,0.869838,0.756235
m.6645,175,1,1,1,1,-18.191,-3.3239,0.013846,0.802499,0.003617
m.6650,137,2,1,1,4,-5.074,-1.2463,0.512562,0.865389,0.313701
m.6654,227,5,4,3,4,-2.443,-0.679,0.787315,0.90663,0.502263
m.6678,2678,5,6,1,2,-6.75,-0.9608,0.639743,0.887682,0.406879
m.6688,381,2,4,1,2,4.703,0.7041,1,0.780116,0.807159
m.6690,123,4,3,2,2,14.526,1.3663,0.873663,0.49723,0.831751
m.6698,487,32,35,19,25,-0.304,-0.0871,0.992943,0.90271,0.687319
m.6700,483,1,0,0,0,-9.823,-1.2991,0.489597,0.861478,0.296957
m.1265,381,1,0,0,0,6.505,0.6428,1,0.796716,0.802266
m.6705,727,15,17,11,11,6.651,1.3074,0.898053,0.528607,0.83126
m.671,663,2,3,0,1,-4.349,-0.763,0.742422,0.901857,0.473528
m.6724,676,23,29,10,12,11.362,2.179,0.342089,0.141214,0.819147
m.673,891,0,0,0,0,-1.553,-0.3063,0.949929,0.912638,0.625628
m.6735,993,0,0,0,0,11.36,0.7812,0.999078,0.756713,0.812622
m.6750,260,9,10,6,7,8.082,1.9604,0.441884,0.21396,0.824091
m.6751,684,2,3,0,0,-2.055,-0.3902,0.921619,0.913766,0.599233
m.6756,433,1,1,0,0,6.966,0.7412,1,0.769219,0.80988
m.6764,636,5,3,2,3,-9.006,-1.4263,0.434049,0.852507,0.257786
m.6777,271,1,3,1,1,2.097,0.2755,1,0.866651,0.759948
m.12662,470,11,11,4,9,18.581,4.1519,0.000526,0.000073,0.802732
m.6795,338,2,3,1,0,-9.87,-1.3792,0.45453,0.85575,0.272071
m.681,2015,93,87,73,87,4.4,3.2581,0.020036,0.004498,0.806648
m.6816,173,3,3,0,1,8.981,1.5075,0.794725,0.421227,0.831867
m.6822,465,3,2,1,2,1.346,0.2701,1,0.86738,0.759125
m.6835,423,1,3,1,1,0.335,0.0314,0.999409,0.893535,0.715193
m.6844,389,13,9,4,8,10.831,1.3248,0.891304,0.519396,0.831433
m.6864,607,0,0,0,3,-6.71,-0.5852,0.835523,0.910674,0.534334
m.6865,1038,1,2,0,2,3.622,0.6681,1,0.790071,0.804348
m.6868,946,10,13,7,8,-6.71,-0.9955,0.623124,0.88496,0.395375
m.6883,567,14,17,7,12,2.481,0.4173,1,0.844796,0.779283
m.12676,293,1,2,0,1,-2.184,-0.2349,0.968922,0.910486,0.647009
m.6915,184,2,1,0,0,4.017,0.6509,1,0.794619,0.802942
m.694,857,4,4,2,6,6.316,0.6191,1,0.802689,0.800233
m.6949,182,1,0,0,0,3.953,0.5182,1,0.825578,0.79062
m.6956,142,0,0,0,0,9.223,1.4528,0.829002,0.450596,0.831996
m.6968,331,0,1,0,0,1.595,0.1618,0.999948,0.880623,0.741096
m.6975,388,2,2,0,1,7.041,0.765,1,0.761873,0.811535
m.698,256,0,1,0,0,2.458,0.3048,1,0.862571,0.764301
m.6987,527,0,1,0,1,2.686,0.2612,1,0.868566,0.757752
m.6990,479,4,4,4,3,0.182,0.0342,0.999464,0.893288,0.715801
m.6999,171,1,2,0,1,-6.749,-0.687,0.783084,0.906218,0.499523
m.12686,459,2,3,1,3,0.608,0.1312,0.999977,0.883927,0.735451
m.70,207,3,4,1,2,3.092,0.4665,1,0.835847,0.785041
m.7005,1086,52,53,17,24,25.66,5.7363,0,0,0.800933
m.707,329,1,3,2,1,-10.695,-1.3662,0.460216,0.856662,0.276061
m.7103,496,1,2,0,1,7.833,0.6364,1,0.798353,0.801725
m.7107,168,0,0,0,0,-1.751,-0.274,0.959122,0.911799,0.635437
m.711,289,2,2,0,1,-3.175,-0.3454,0.93751,0.913353,0.613481
m.7111,267,0,1,1,1,-6.261,-0.7913,0.72722,0.900043,0.463886
m.7115,1367,8,7,1,2,-10.654,-1.7795,0.293279,0.831932,0.160989
m.7131,978,4,4,2,2,3.031,0.846,0.992109,0.73497,0.816597
m.7138,221,1,0,0,2,4.605,0.7179,1,0.77614,0.808192
m.12693,1749,0,0,10,13,-11.387,-2.2973,0.123532,0.813305,0.065005
m.7140,275,13,11,6,8,2.162,0.3663,1,0.853291,0.772818
m.7159,1549,3,2,0,0,-14.818,-2.5295,0.079918,0.808482,0.040424
m.720,102,1,1,1,0,7.039,0.9663,0.977345,0.689763,0.822536
m.7206,974,4,5,4,4,-2.114,-0.3888,0.922141,0.91376,0.599683
m.721,1283,1,1,1,1,-0.957,-0.1077,0.990777,0.904049,0.682055
m.7211,854,1,1,0,3,5.732,1.4603,0.824584,0.446553,0.831991
m.7240,672,1,4,1,2,-3.885,-0.8928,0.67374,0.892882,0.429583
m.7242,348,0,2,0,1,-4.637,-0.5665,0.844733,0.911297,0.540693
m.725,200,1,1,0,0,-1.534,-0.151,0.98502,0.9066,0.670602
m.12695,530,0,0,0,0,-6.145,-0.8891,0.675641,0.893157,0.430825
m.7262,373,14,16,10,13,0.005,0.0005,0.998561,0.896163,0.708326
m.7285,870,1,0,0,0,-15.704,-1.3541,0.465516,0.857517,0.279793
m.7288,361,11,12,3,6,9.965,0.7517,1,0.766013,0.810619
m.7296,413,41,43,27,33,1.097,0.7259,1,0.773793,0.808779
m.7297,100,9,8,6,8,-8.487,-0.9796,0.630677,0.886211,0.40064
m.733,773,9,11,3,6,0.453,0.0576,0.9998,0.891179,0.720793
m.7348,315,16,16,9,15,7.669,1.9418,0.453425,0.220844,0.824544
m.7362,351,0,1,0,0,6.455,0.4984,1,0.82962,0.788539
m.7372,521,0,0,0,1,-7.553,-0.8559,0.692891,0.895588,0.441998
m.7375,539,1,1,0,1,4.974,0.6164,1,0.803355,0.799996
m.12698,142,4,6,2,5,-5.979,-0.791,0.727381,0.900063,0.463988
m.738,140,17,19,7,8,-3.138,-0.7622,0.742852,0.901907,0.4738
m.7382,319,0,0,1,6,4.164,0.6217,1,0.802046,0.80046
m.7404,524,103,105,99,120,1.8,0.6341,1,0.798937,0.801529
m.7426,502,30,29,17,22,0.319,0.082,0.999965,0.88888,0.725826
m.745,243,11,12,5,10,1.108,0.1922,1,0.877159,0.746456
m.7457,110,9,11,6,7,-1.135,-0.2349,0.968922,0.910486,0.647009
m.7461,430,12,13,7,11,1.734,0.2631,1,0.868315,0.758047
m.7469,537,1,4,3,1,3.301,0.3035,1,0.862757,0.764112
m.7470,329,1,0,0,0,-5.272,-0.9732,0.633746,0.886713,0.402762
m.7487,461,0,0,0,0,-3.297,-0.4393,0.90232,0.913723,0.58327
m.10135,467,3,4,2,3,-5.471,-0.5064,0.87315,0.912847,0.560987
m.12707,398,3,0,2,1,-14.476,-1.8651,0.261118,0.827997,0.140862
m.750,800,1,1,0,1,1.444,0.2015,1,0.876061,0.748048
m.7509,441,5,8,1,2,-5.432,-1.0081,0.617212,0.883965,0.391211
m.753,343,4,4,3,3,-4.056,-0.6462,0.804497,0.908211,0.513497
m.755,538,1,0,0,0,-2.335,-0.2732,0.959337,0.911775,0.635677
m.7552,386,0,0,0,0,-11.807,-1.199,0.532969,0.868975,0.328876
m.7561,417,4,3,1,2,-3.985,-0.4042,0.916308,0.913806,0.594715
m.7582,540,3,3,1,3,-4.238,-0.8563,0.692682,0.895559,0.441863
m.7588,415,1,2,1,1,4.222,0.4198,1,0.844359,0.779586
m.7592,467,9,13,6,9,8.165,0.8545,0.991143,0.731985,0.817076
m.7593,596,1,4,2,3,2.394,0.2925,1,0.86431,0.762497
m.12716,167,3,1,0,0,-5.994,-1.0346,0.604979,0.881865,0.382473
m.7595,1291,58,63,28,41,2.644,1.0512,0.96457,0.653955,0.825739
m.7600,469,0,0,0,0,13.505,1.7351,0.612697,0.306821,0.829157
m.7630,342,0,0,0,1,-0.708,-0.1616,0.983353,0.907169,0.667721
m.7637,482,7,5,4,5,15.243,2.5682,0.168167,0.051858,0.813054
m.7644,222,0,1,0,0,-3.519,-0.5313,0.861611,0.91229,0.55261
m.7647,1472,3,4,2,4,-1.838,-0.2454,0.966433,0.91087,0.643935
m.765,688,1,1,0,1,-6.481,-1.0329,0.605756,0.882,0.383032
m.7658,726,0,0,0,1,-0.765,-0.1287,0.988193,0.905331,0.676565
m.7660,262,0,0,0,0,4.134,0.7486,1,0.766965,0.810402
m.12721,179,0,0,1,0,3.027,0.5331,1,0.822443,0.792142
m.7663,465,1,2,0,1,2.166,0.4044,1,0.847017,0.777696
m.7667,285,4,4,4,6,-2.062,-0.2431,0.966988,0.910788,0.644611
m.7674,481,7,9,5,7,-4.162,-0.573,0.84155,0.911087,0.538485
m.7691,358,0,1,0,0,2.867,0.4804,1,0.833177,0.786587
m.77,597,48,49,33,33,3.154,0.8755,0.988715,0.724477,0.818218
m.772,418,19,20,13,17,-3.573,-0.6381,0.808693,0.908575,0.516269
m.7741,384,90,89,70,74,3.619,1.5694,0.750385,0.388555,0.831464
m.7744,503,1,1,0,0,-4.249,-0.7258,0.7624,0.904091,0.486238
m.7751,288,16,16,16,17,4.455,1.2812,0.907555,0.542362,0.830953
m.7753,1062,0,0,0,0,-1.896,-0.2405,0.967608,0.910693,0.645373
m.12725,224,5,4,2,4,1.468,0.3506,1,0.855757,0.77072
m.7798,205,0,1,0,1,-7.007,-0.8415,0.700471,0.896615,0.44686
m.782,388,36,43,24,35,9.163,3.7827,0.002261,0.000493,0.803665
m.7823,187,0,0,0,0,-0.706,-0.0782,0.993771,0.902107,0.689556
m.7834,739,2,2,0,2,4.546,0.797,0.99745,0.751574,0.813645
m.7836,367,1,1,1,1,-2.748,-0.4317,0.905428,0.913764,0.585762
m.784,162,0,1,0,0,-0.76,-0.1439,0.986079,0.906207,0.672515
m.785,233,1,2,2,4,-3.319,-0.6362,0.809673,0.908658,0.516919
m.787,428,28,33,19,27,11.056,4.4098,0.000122,0.000016,0.802357
m.789,775,2,2,0,2,10.071,1.0617,0.962771,0.649305,0.826083
m.791,133,2,2,0,1,2.346,0.3224,1,0.860018,0.766822
m.12732,698,39,43,16,25,5.606,1.9224,0.466044,0.228161,0.825015
m.793,584,0,0,0,0,1.135,0.1569,0.999947,0.881164,0.740209
m.7945,324,1,2,0,1,-7.239,-0.9151,0.662391,0.891202,0.422113
m.7961,340,0,1,1,2,-3.462,-0.5569,0.849398,0.911591,0.543951
m.7974,155,4,2,1,1,-14.566,-1.6747,0.333165,0.837295,0.187606
m.8003,356,3,5,2,5,-0.361,-0.0542,0.995693,0.900411,0.695473
m.8017,724,3,5,2,3,-1.509,-0.1748,0.98113,0.907847,0.664092
m.8023,472,1,2,0,2,1.724,0.2401,1,0.871306,0.754422
m.8059,183,0,1,0,0,-5.453,-0.6909,0.781016,0.906015,0.498187
m.809,141,0,0,1,1,4.504,0.6692,1,0.789775,0.804436
m.81,504,12,13,11,10,6.154,0.833,0.993564,0.739474,0.815846
m.12737,490,0,0,0,1,8.388,1.6424,0.691903,0.351317,0.830654
m.8138,1023,0,0,0,0,-0.368,-0.04,0.996629,0.899358,0.698895
m.8149,654,3,3,1,4,-8.029,-0.8507,0.695622,0.895961,0.443753
m.82,123,0,2,2,5,-6.613,-0.8473,0.697412,0.896203,0.444901
m.8222,467,26,33,16,25,6.631,1.2438,0.919848,0.561711,0.83042
m.8227,922,2,1,1,2,2.328,0.45,1,0.838935,0.783161
m.8232,523,2,4,1,1,4.582,0.5827,1,0.811407,0.796949
m.8233,1215,28,29,11,14,5.42,1.6618,0.675573,0.341723,0.830382
m.8241,512,1,2,0,1,0.757,0.112,1,0.885911,0.731777
m.12740,434,6,7,4,4,7.682,0.9141,0.984076,0.71017,0.820174
m.8318,815,0,0,0,0,5.296,0.7502,1,0.766474,0.810514
m.8342,908,37,37,28,28,4.024,1.5685,0.75107,0.389023,0.831471
m.8376,1390,2,5,1,5,-7.27,-1.0191,0.612102,0.883094,0.38758
m.849,171,9,10,5,7,-3.155,-0.631,0.812353,0.908884,0.518698
m.8553,598,0,0,0,0,-18.793,-1.6522,0.341829,0.838528,0.193575
m.8574,338,1,1,0,1,5.326,0.4673,1,0.835695,0.785131
m.8594,352,4,3,1,1,0.112,0.0156,0.999035,0.894899,0.711718
m.860,473,9,13,7,9,7.414,1.4989,0.800427,0.425822,0.831901
m.8609,175,7,8,8,5,-7.691,-2.0053,0.210685,0.822337,0.111455
m.8622,179,2,1,1,3,-1.217,-0.2798,0.957543,0.911966,0.633691
m.12744,483,3,4,2,3,2.203,0.2399,1,0.871331,0.75439
m.8646,552,1,2,0,0,1.414,0.2055,1,0.875583,0.748726
m.865,271,9,11,6,7,5.748,1.7245,0.621809,0.31173,0.829352
m.8693,201,4,4,2,4,7.616,1.56,0.757472,0.393462,0.831542
m.8696,278,0,2,0,1,2.331,0.2642,1,0.868168,0.758217
m.8700,316,1,1,0,1,-2.347,-0.38,0.925386,0.91371,0.602505
m.8703,160,2,2,1,2,13.665,1.1987,0.932888,0.584513,0.829621
m.8709,507,3,5,2,2,-9.169,-0.748,0.750485,0.902779,0.478649
m.873,140,7,7,4,6,-5.372,-1.5001,0.402687,0.847637,0.235996
m.8730,570,2,3,1,3,5.079,0.4186,1,0.844569,0.779441
m.8735,575,2,1,1,2,3.786,0.4266,1,0.843163,0.780406
m.12757,255,9,7,4,4,1.307,0.2568,1,0.869146,0.757066
m.8756,335,0,0,0,1,-12.824,-1.5884,0.366781,0.842188,0.210942
m.8796,376,3,6,5,6,-3.289,-0.6465,0.804341,0.908197,0.513394
m.8799,389,13,13,7,6,7.649,1.8205,0.541286,0.269074,0.827401
m.886,1029,0,1,0,2,-5.508,-0.7124,0.769569,0.90485,0.490824
m.8870,312,16,15,12,14,-7.023,-2.0554,0.193806,0.820534,0.10207
m.8872,406,10,13,6,10,0.665,0.134,0.999971,0.883632,0.735978
m.8875,267,7,8,6,5,0.627,0.0919,0.999992,0.887918,0.727818
m.8877,241,4,4,3,3,8.844,0.7108,1,0.778197,0.807664
m.8885,757,22,22,14,18,0.146,0.0524,0.999743,0.891656,0.719698
m.1276,494,1,1,0,0,-5.06,-0.5349,0.859914,0.912199,0.551395
m.8900,399,16,18,13,14,-6.868,-1.5465,0.383593,0.84472,0.222688
m.8901,709,0,0,0,0,-7.218,-1.2304,0.519437,0.866586,0.318786
m.8908,660,2,1,0,2,-1.496,-0.1593,0.983723,0.907048,0.668349
m.8913,420,2,3,0,2,-0.786,-0.1539,0.984575,0.906758,0.669817
m.8914,480,1,1,0,3,-8.95,-1.1413,0.557812,0.87344,0.347559
m.892,692,5,4,1,3,0.884,0.1375,0.999966,0.883261,0.736634
m.8928,359,8,8,7,9,8.833,0.9573,0.978552,0.693369,0.822151
m.8936,197,3,4,2,3,-6.41,-1.1156,0.568954,0.875455,0.355928
m.8939,146,3,3,1,2,-4.66,-0.5653,0.845319,0.911334,0.541101
m.8941,216,6,7,3,7,0.544,0.0966,0.999998,0.887455,0.728754
m.10138,474,1,1,1,2,-1.784,-0.1797,0.980264,0.90809,0.662733
m.12762,252,27,25,7,6,-0.291,-0.0578,0.995432,0.900672,0.694597
m.8943,224,0,0,0,0,4.004,0.4062,1,0.84671,0.77792
m.8947,2092,6,5,3,8,-1.165,-0.3109,0.948541,0.912739,0.624214
m.8953,221,7,8,4,6,-0.067,-0.0131,0.998025,0.897267,0.705214
m.8954,500,2,1,1,5,-2.014,-0.485,0.882773,0.913227,0.568144
m.8957,494,3,3,1,2,-7.201,-1.1637,0.548154,0.871696,0.340287
m.8982,213,4,4,0,3,7.847,0.9833,0.975001,0.682852,0.823238
m.8984,345,0,0,0,0,1.627,0.1889,1,0.877544,0.745886
m.8991,306,13,14,5,11,-5.757,-1.1387,0.558936,0.873643,0.348404
m.90,277,2,2,0,0,-6.001,-1.191,0.536411,0.869588,0.331456
m.9006,624,1,2,0,0,-4.376,-0.639,0.808227,0.908535,0.515961
m.12764,395,4,4,2,3,-2.659,-0.2573,0.963486,0.911277,0.640421
m.9013,389,8,9,6,7,10.711,2.1883,0.338805,0.138424,0.818964
m.9015,170,7,7,6,7,-3.544,-0.5323,0.861141,0.912265,0.552273
m.9022,1133,28,30,21,23,3.955,0.9926,0.973679,0.679016,0.823609
m.9023,1893,1,0,0,1,-11.144,-1.3651,0.460698,0.856739,0.2764
m.9029,177,0,0,0,0,0.54,0.0523,0.999741,0.891665,0.719677
m.9034,345,0,0,0,2,-2.851,-0.409,0.914452,0.913811,0.59316
m.904,870,5,6,0,9,5.008,1.0224,0.969231,0.666462,0.824737
m.9051,213,7,8,7,10,-3.058,-0.3975,0.91887,0.913792,0.596881
m.9052,1364,3,5,4,8,-15.908,-1.4582,0.420359,0.850369,0.248276
m.9058,352,13,15,5,9,8.222,2.256,0.314888,0.118921,0.817709
m.12770,763,3,5,2,1,1.608,0.3288,1,0.859069,0.767722
m.9072,179,1,1,0,0,5.277,0.5191,1,0.825391,0.790713
m.9073,508,10,10,7,7,-7.17,-1.4212,0.436254,0.852853,0.259319
m.9086,773,19,21,9,12,6.033,0.9796,0.975518,0.684367,0.823088
m.9089,726,4,4,3,5,-9.359,-2.1983,0.149776,0.815983,0.078562
m.9097,494,5,5,3,3,-3.918,-0.9648,0.637802,0.88737,0.40555
m.9104,238,1,0,1,1,-3.565,-0.3243,0.944384,0.913008,0.620072
m.9109,151,3,2,2,2,-21.315,-2.7897,0.049636,0.805301,0.021236
m.911,192,0,2,0,0,-1.937,-0.1773,0.980691,0.907971,0.663399
m.9110,140,1,2,1,2,8.641,0.6936,1,0.783081,0.806357
m.912,124,1,1,0,0,19.764,1.2261,0.925188,0.570735,0.830127
m.12774,857,0,0,0,0,1.607,0.2403,1,0.87128,0.754454
m.9122,382,2,4,2,3,6.217,1.0493,0.964891,0.654791,0.825675
m.9133,155,8,6,2,2,-9.842,-1.0181,0.612565,0.883173,0.38791
m.9135,505,5,4,2,2,-13.1,-1.8471,0.267833,0.828793,0.144964
m.9137,549,18,20,13,16,1.01,0.2653,1,0.868022,0.758387
m.9141,173,3,1,1,0,-10.488,-1.6071,0.359396,0.841091,0.205785
m.915,457,1,1,0,1,5.28,0.6039,1,0.806396,0.798886
m.9151,279,2,4,0,2,5.586,0.8466,0.992041,0.73476,0.816631
m.9167,564,12,14,10,13,-1.78,-0.6408,0.807296,0.908455,0.515345
m.9170,543,1,2,1,2,9.342,1.3241,0.891584,0.519767,0.831426
m.9176,257,5,3,4,7,-1.649,-0.2479,0.965826,0.910958,0.6432
m.12783,327,0,0,0,1,-0.391,-0.0644,0.99493,0.901144,0.692979
m.918,345,9,8,3,5,15.241,1.4684,0.819712,0.442191,0.831981
m.9181,139,2,2,2,3,-3.97,-0.4603,0.893515,0.913549,0.576348
m.9193,136,1,1,1,2,-6.596,-0.974,0.633362,0.88665,0.402497
m.9195,251,1,1,1,2,-1.156,-0.1133,0.990125,0.904399,0.680603
m.9200,158,1,1,0,0,1.389,0.1449,0.999956,0.88247,0.73801
m.9206,260,0,0,0,1,-11.931,-1.8169,0.279165,0.830165,0.152004
m.9224,322,3,5,2,4,-11.635,-2.2653,0.131564,0.81413,0.069155
m.9226,462,21,23,10,17,-3.327,-0.6711,0.791479,0.907026,0.504969
m.923,391,3,2,1,1,-5.769,-1.2498,0.511046,0.865127,0.312584
m.924,786,6,11,5,10,7.457,2.2414,0.320136,0.123003,0.817969
m.12790,138,6,5,2,3,3.426,0.6813,1,0.78649,0.805399
m.9242,256,1,4,1,2,-4.811,-0.6914,0.780751,0.905988,0.498016
m.9252,695,0,1,0,0,-4.151,-0.4551,0.895725,0.913601,0.578067
m.9253,509,1,1,1,2,-2.324,-0.273,0.95939,0.911769,0.635737
m.9267,132,0,2,0,0,13.242,1.6768,0.662806,0.334403,0.830156
m.9284,447,10,13,20,20,1.649,0.4094,1,0.846162,0.778315
m.9290,1260,0,2,0,0,-2.446,-0.2642,0.961715,0.9115,0.638369
m.9295,226,2,1,1,5,-9.52,-1.4332,0.431073,0.852041,0.255718
m.9312,311,2,3,0,0,-9.121,-1.1955,0.534475,0.869243,0.330005
m.9319,314,4,4,3,4,-3.585,-0.7647,0.741508,0.901751,0.472948
m.9320,149,1,1,0,0,-3.348,-0.4169,0.911356,0.913807,0.590593
m.12795,196,3,2,1,1,-11.091,-1.4843,0.409305,0.848657,0.240598
m.9322,625,12,11,4,7,10.996,1.5799,0.742337,0.3831,0.831369
m.9331,568,1,2,0,0,4.788,0.6964,1,0.782296,0.806572
m.9340,260,3,1,1,1,0.004,0.0005,0.998561,0.896163,0.708326
m.9341,306,6,4,0,2,-1.599,-0.1604,0.983547,0.907106,0.668049
m.9342,193,8,9,6,8,-0.931,-0.1695,0.982042,0.907579,0.665554
m.9366,437,1,0,1,1,-3.675,-0.5866,0.834827,0.910625,0.533857
m.9386,745,0,0,1,1,-0.352,-0.0357,0.996884,0.899032,0.69992
m.9389,756,0,0,0,0,3.369,0.5109,1,0.827085,0.78986
m.9399,268,11,13,6,11,-3.189,-0.6473,0.803925,0.908161,0.51312
m.12796,156,7,8,2,5,4.784,0.5854,1,0.810779,0.7972
m.940,484,4,6,1,5,-2.736,-0.3537,0.934696,0.913462,0.610866
m.9408,224,1,3,2,4,-0.139,-0.0164,0.997878,0.897531,0.70445
m.9411,328,9,13,7,10,4.687,1.4667,0.820746,0.443107,0.831984
m.9432,802,5,5,2,4,10.932,1.7146,0.630333,0.316357,0.829529
m.9440,538,0,1,0,0,8.707,0.8209,0.994894,0.743602,0.815126
m.9443,895,2,2,0,2,-8.13,-1.2744,0.500366,0.863295,0.304761
m.9447,704,4,8,6,7,5.069,0.8824,0.987903,0.721968,0.818582
m.9474,609,0,0,1,1,-2.228,-0.252,0.964816,0.9111,0.64199
m.9478,1342,32,32,11,24,7.534,2.1815,0.341203,0.140462,0.819097
m.948,269,5,4,4,4,-10.159,-1.8584,0.263614,0.828291,0.14238
m.1281,317,0,1,0,0,-9.033,-1.555,0.380151,0.844198,0.220284
m.949,153,10,10,5,6,1.813,0.342,1,0.857079,0.76955
m.9510,372,1,1,0,1,-4.842,-0.4103,0.913945,0.913811,0.592738
m.9511,681,7,6,7,10,3.271,0.436,1,0.841485,0.781525
m.9524,422,1,1,4,3,5.994,1.1751,0.939009,0.596181,0.829133
m.9527,577,1,2,2,1,2.635,0.4304,1,0.842488,0.780861
m.9546,175,4,3,2,4,-1.096,-0.196,0.977217,0.908862,0.658168
m.9560,412,1,2,1,2,-2.648,-0.6532,0.800855,0.907888,0.5111
m.9561,429,9,9,4,9,1.594,0.5766,1,0.812816,0.796379
m.9566,251,1,2,0,0,-4.829,-0.6587,0.797983,0.907628,0.509217
