Protein,Len,S0,S0,S1,S1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
m.29634,1184,0,1,0,0,-9.899,-1.1099,0.571438,0.875904,0.357788
m.297,271,2,3,1,1,-10.286,-0.9057,0.667152,0.891914,0.425259
m.2970,816,4,2,1,1,-6.374,-0.9626,0.638868,0.887541,0.406281
m.2971,483,0,1,0,1,-1.743,-0.2342,0.969084,0.910459,0.647213
m.29844,459,1,2,1,2,3.316,0.4526,1,0.838454,0.78346
m.29861,185,14,17,9,12,-11.585,-2.0175,0.206511,0.821887,0.109114
m.1163,121,2,2,2,2,-4.866,-0.4629,0.892404,0.913521,0.575488
m.29888,284,4,4,4,2,-9.019,-1.3324,0.475025,0.859066,0.286528
m.29952,124,5,6,2,2,11.505,1.626,0.705497,0.359533,0.830866
m.29972,1069,5,4,2,4,12.064,1.6235,0.707551,0.360794,0.830897
m.3004,377,3,3,3,2,4.791,0.3934,1,0.848872,0.776318
m.3005,453,4,9,13,18,-8.571,-1.0229,0.610347,0.882793,0.386327
m.30091,627,0,0,0,1,-5.015,-0.4427,0.900916,0.913701,0.582153
m.30104,442,16,17,6,10,0.695,0.1598,0.999946,0.880845,0.740735
m.3013,523,1,0,0,0,3.327,0.4611,1,0.836867,0.784431
m.30171,172,1,1,1,1,-2.937,-0.3408,0.939043,0.913286,0.614924
m.30203,117,2,4,3,7,-10.927,-1.6513,0.342176,0.838578,0.193815
m.11636,357,2,3,0,0,3.829,0.5191,1,0.825391,0.790713
m.3027,702,1,2,0,2,8.3,1.6202,0.710254,0.362461,0.830937
m.3029,290,1,1,0,2,-5.728,-1.0038,0.619222,0.884304,0.392631
m.30295,390,12,11,12,12,-3.007,-0.3956,0.919589,0.913787,0.597494
m.30322,115,0,0,0,2,1.444,0.1932,1,0.877041,0.746629
m.3037,1596,0,0,0,1,-4.29,-0.4874,0.881708,0.913189,0.567343
m.30396,488,29,32,24,24,8.139,3.4453,0.008111,0.00211,0.8054
m.304,134,3,2,1,3,1.806,0.2615,1,0.868527,0.757798
m.30404,107,3,3,1,3,4.431,0.6749,1,0.788236,0.804892
m.30436,263,1,2,1,1,-9.051,-0.9866,0.627339,0.885661,0.398321
m.30492,247,10,9,5,7,-1.205,-0.19,0.978368,0.908584,0.659856
m.30496,451,7,9,1,4,4.17,0.7303,1,0.77249,0.809099
m.30517,248,8,9,4,6,0.364,0.0799,0.999957,0.889082,0.7254
m.30602,306,3,3,2,4,-3.297,-0.4592,0.893984,0.913561,0.576712
m.3061,248,4,5,1,3,-1.783,-0.1884,0.978669,0.908509,0.660305
m.30649,133,6,7,4,6,0.077,0.0107,0.998893,0.895313,0.710625
m.308,201,3,2,3,4,-2.112,-0.2097,0.974461,0.909469,0.65428
m.3082,374,1,1,1,2,14.484,1.2054,0.931065,0.581166,0.82975
m.11700,147,1,3,0,0,1.54,0.2758,1,0.86661,0.759994
m.3090,880,7,8,5,8,-0.808,-0.1472,0.985593,0.906391,0.671628
m.30904,460,0,0,1,1,0.28,0.0418,0.999596,0.892614,0.71744
m.30909,383,0,0,0,0,5.435,0.6148,1,0.803748,0.799855
m.30917,239,2,2,0,2,11.329,1.2357,0.922327,0.565852,0.830289
m.30927,172,28,31,17,16,-0.645,-0.2583,0.963233,0.91131,0.640125
m.30955,229,12,10,7,11,0.975,0.2178,1,0.874092,0.750785
m.30957,121,2,2,0,0,2.177,0.361,1,0.854131,0.772115
m.30965,169,2,3,2,1,0.511,0.0709,0.99991,0.889938,0.723558
m.30968,150,6,5,3,3,-5.421,-0.9722,0.634228,0.886791,0.403094
m.3100,352,5,10,1,5,-1.275,-0.1173,0.989643,0.904645,0.67956
m.11721,335,1,1,0,0,9.484,1.0632,0.962509,0.648636,0.826131
m.31184,221,10,11,0,0,4.741,0.6167,1,0.803281,0.800023
m.31187,410,0,0,0,1,-2.188,-0.2664,0.961141,0.911569,0.637713
m.3130,1155,4,7,1,4,6.041,0.9672,0.977223,0.689401,0.822574
m.31300,423,4,7,2,3,1.729,0.3646,1,0.853561,0.772593
