Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.32400	152	33	49	28	33	37	22	0.454	1.8165	0.000000	0.000000	0.506017
m.3241	263	4	0	4	0	2	0	-0.395	-0.5584	0.988246	0.361610	0.645118
m.32417	162	15	19	16	17	17	12	0.436	1.2466	0.000095	0.000003	0.612822
m.32424	125	0	0	0	0	1	0	-0.034	-0.0457	0.999615	0.234692	0.962070
m.32437	322	19	17	7	11	17	15	0.971	2.4207	0.000000	0.000000	0.435546
m.32472	518	3	5	2	2	7	0	0.677	1.0701	0.001219	0.000047	0.660059
m.32473	135	0	1	1	0	2	0	0.070	0.0929	0.975043	0.163939	0.970914
m.3249	378	0	0	0	0	0	1	-0.112	-0.1518	0.992876	0.280832	0.948039
m.32493	173	1	1	1	2	2	0	0.334	0.4596	0.377424	0.026151	0.890028
m.3251	282	1	1	2	1	3	2	0.068	0.0990	0.971753	0.160764	0.970943
m.32539	222	4	3	3	4	9	3	0.883	1.6285	0.000000	0.000000	0.535746
m.32541	130	0	1	0	0	0	0	-0.124	-0.1470	0.993084	0.278972	0.948818
m.3255	868	0	4	1	3	4	5	1.059	1.5875	0.000000	0.000000	0.542763
m.3257	309	0	1	1	1	0	0	-0.044	-0.0583	0.998989	0.240675	0.960696
m.32635	153	0	2	1	8	1	6	1.576	2.8688	0.000000	0.000000	0.405767
m.32645	340	3	6	1	4	3	3	1.116	1.8015	0.000000	0.000000	0.508260
m.3273	568	2	8	5	7	5	1	0.608	1.1976	0.000200	0.000007	0.625093
m.3276	306	8	7	9	12	14	10	0.789	1.9503	0.000000	0.000000	0.486959
m.32828	176	14	7	10	18	11	14	1.022	2.7071	0.000000	0.000000	0.415152
m.32831	225	19	18	11	15	16	9	0.699	1.8007	0.000000	0.000000	0.508380
m.32846	176	3	3	3	0	5	1	-0.061	-0.0879	0.997009	0.254239	0.957184
m.32852	395	0	4	2	1	0	2	-0.133	-0.1785	0.992142	0.290750	0.943340
m.33004	467	5	4	1	3	4	1	0.845	1.3092	0.000035	0.000001	0.598042
m.33026	112	21	19	11	21	19	11	0.989	2.5814	0.000000	0.000000	0.423413
m.33051	377	6	1	1	5	5	1	1.142	1.9097	0.000000	0.000000	0.492559
m.33059	120	1	4	1	3	1	3	0.803	1.2493	0.000091	0.000003	0.612164
m.33135	103	35	62	46	91	71	49	0.834	4.2138	0.000000	0.000000	0.374111
m.33136	368	3	4	2	8	10	2	1.471	2.6582	0.000000	0.000000	0.418261
m.33150	205	0	0	0	0	1	0	-0.084	-0.1061	0.995654	0.262206	0.954818
m.332	282	36	28	38	75	37	92	0.864	4.6391	0.000000	0.000000	0.370764
m.33203	178	0	0	0	0	2	0	0.027	0.0359	0.994915	0.193692	0.968943
m.33261	166	5	3	1	0	4	1	0.358	0.5131	0.282511	0.017759	0.867726
m.33265	255	0	0	2	0	0	0	-0.326	-0.4328	0.999988	0.350342	0.818245
m.33343	126	3	0	1	1	2	0	0.085	0.1076	0.966664	0.156301	0.970916
m.3341	135	4	0	1	1	3	0	0.242	0.3545	0.593069	0.051075	0.929175
m.33410	147	7	6	2	4	5	3	0.934	1.5962	0.000000	0.000000	0.541255
m.33455	109	4	9	6	7	9	4	0.627	1.2987	0.000042	0.000001	0.600453
m.3347	452	0	0	2	2	0	2	0.209	0.3056	0.694482	0.066982	0.943856
m.33471	155	0	1	0	2	2	0	0.429	0.5927	0.170184	0.009418	0.833676
m.33472	425	4	7	3	8	4	8	1.192	2.2646	0.000000	0.000000	0.449740
m.3348	683	0	0	0	0	0	1	-0.056	-0.0698	0.998291	0.246030	0.959379
m.33492	113	2	0	0	4	0	1	0.708	1.0882	0.000954	0.000037	0.654820
m.33497	112	3	2	3	2	4	1	0.178	0.2682	0.766548	0.081033	0.953082
m.33500	300	21	38	26	31	40	14	0.468	1.6904	0.000000	0.000000	0.525547
m.33503	162	6	11	4	11	13	5	1.378	3.0009	0.000000	0.000000	0.399250
m.33514	310	17	11	7	10	19	6	0.887	1.8977	0.000000	0.000000	0.494246
m.33520	102	0	0	1	1	0	2	0.133	0.1857	0.894586	0.117230	0.966607
m.3353	326	0	0	0	0	1	1	-0.059	-0.0757	0.997892	0.248736	0.958680
m.33573	158	1	2	2	0	4	1	0.152	0.2112	0.860413	0.105355	0.963450
m.33579	108	0	0	0	3	0	1	0.514	0.7666	0.040638	0.001841	0.762493
m.33585	222	6	11	4	7	11	4	1.033	2.0827	0.000000	0.000000	0.469894
m.33619	266	1	1	0	0	0	1	-0.149	-0.1787	0.992138	0.290822	0.943302
m.33735	105	1	0	0	3	2	0	0.639	0.9039	0.009641	0.000399	0.712628
m.3377	199	11	21	11	16	13	10	0.778	2.0232	0.000000	0.000000	0.477328
m.338	206	1	0	0	0	1	0	-0.080	-0.1040	0.995824	0.261302	0.955099
m.3381	122	2	2	1	2	1	2	0.393	0.5826	0.182417	0.010247	0.837996
m.33823	263	2	4	2	2	1	2	0.201	0.2933	0.718891	0.071426	0.947093
m.33827	165	0	2	1	0	0	0	-0.107	-0.1293	0.994072	0.271915	0.951544
m.33839	126	0	0	0	1	0	1	-0.048	-0.0622	0.998766	0.242502	0.960256
m.33846	162	0	0	0	0	1	0	-0.098	-0.1236	0.994432	0.269577	0.952378
m.33851	449	2	8	2	4	0	3	0.650	1.0614	0.001370	0.000053	0.662610
m.33873	140	0	0	0	0	0	1	-0.055	-0.0716	0.998176	0.246858	0.959168
m.33885	143	3	2	1	1	0	2	0.083	0.1118	0.963993	0.154128	0.970874
m.33899	140	5	3	1	3	3	2	0.826	1.1939	0.000211	0.000008	0.626045
m.33904	946	0	0	1	0	0	0	-0.081	-0.1046	0.995778	0.261560	0.955019
m.33912	110	3	1	0	1	0	0	-0.150	-0.2049	0.992341	0.299838	0.937934
m.3392	310	0	1	1	0	1	0	-0.140	-0.1911	0.992111	0.295177	0.940868
m.33958	343	0	0	0	1	0	2	0.040	0.0542	0.990492	0.184161	0.969884
m.3398	116	0	0	0	0	1	0	-0.135	-0.1692	0.992295	0.287378	0.945053
m.34056	168	8	8	5	8	7	5	0.892	1.7065	0.000000	0.000000	0.522964
m.3406	975	3	0	2	0	0	0	-0.293	-0.3858	0.999997	0.343618	0.858372
m.34074	300	18	6	7	10	9	9	0.813	1.7510	0.000000	0.000000	0.515966
m.3410	419	6	11	6	8	9	5	0.752	1.5322	0.000001	0.000000	0.552606
m.34124	301	3	0	2	4	2	0	0.641	1.0150	0.002512	0.000099	0.676582
m.3413	246	0	2	0	1	1	1	-0.114	-0.1329	0.993851	0.273376	0.951007
m.34157	102	7	24	16	27	20	15	0.848	2.6560	0.000000	0.000000	0.418404
m.34165	271	2	3	2	3	3	2	0.573	0.8620	0.015369	0.000651	0.727208
m.34189	296	18	23	10	21	19	12	1.087	2.8338	0.000000	0.000000	0.407677
m.342	284	6	17	10	13	14	10	0.743	1.8708	0.000000	0.000000	0.498076
m.3422	302	0	7	7	5	2	5	0.162	0.3203	0.664593	0.061904	0.939737
m.34230	432	0	1	2	0	4	1	0.075	0.0981	0.972256	0.161232	0.970941
m.3426	883	4	2	1	0	3	0	0.260	0.3421	0.619222	0.054842	0.933155
m.34300	263	1	1	0	1	0	1	-0.109	-0.1376	0.993580	0.275263	0.950293
m.34307	327	2	3	1	9	8	3	1.756	3.1023	0.000000	0.000000	0.395042
m.34320	345	9	25	9	6	20	2	0.209	0.4687	0.360307	0.024539	0.886306
m.34321	298	9	6	0	8	9	6	1.742	3.2339	0.000000	0.000000	0.390567
m.3433	518	1	0	0	0	0	0	-0.133	-0.1645	0.992408	0.285640	0.945886
m.34343	261	1	0	0	0	1	0	-0.051	-0.0673	0.998461	0.244874	0.959671
m.34366	163	0	0	0	0	0	1	-0.044	-0.0576	0.999031	0.240345	0.960774
m.34388	510	1	1	0	2	4	2	0.760	1.1184	0.000629	0.000024	0.646285
m.3442	136	0	0	1	1	1	1	-0.055	-0.0689	0.998342	0.245614	0.959484
m.34428	306	0	0	8	0	3	0	-0.819	-1.3682	0.004609	0.367038	0.000465
m.3444	334	6	6	3	3	5	2	0.498	0.8012	0.028985	0.001277	0.749358
m.34462	419	4	9	4	8	1	7	0.948	1.9035	0.000000	0.000000	0.493429
m.34493	172	2	8	5	14	7	5	1.335	2.7108	0.000000	0.000000	0.414922
m.34525	118	3	2	1	1	0	0	-0.027	-0.0342	0.999979	0.229133	0.963259
m.34604	140	7	10	7	14	2	3	0.870	1.9801	0.000000	0.000000	0.482955
m.34605	160	3	4	2	3	6	1	0.699	1.0702	0.001218	0.000047	0.660030
m.3462	8400	61	79	59	94	130	29	0.637	3.5893	0.000000	0.000000	0.382238
m.34626	203	3	2	1	1	2	1	0.053	0.0682	0.985930	0.176842	0.970417
m.3463	3039	30	22	21	26	50	12	0.585	2.1129	0.000000	0.000000	0.466275
m.34688	318	9	8	4	6	9	3	0.881	1.6730	0.000000	0.000000	0.528369
m.34690	147	2	0	1	0	3	0	0.275	0.3787	0.541815	0.044244	0.920952
m.347	455	55	57	56	73	50	57	0.416	2.2905	0.000000	0.000000	0.447193
m.34706	440	0	1	2	3	2	0	0.389	0.5846	0.179947	0.010078	0.837140
m.34742	173	0	1	0	1	2	0	0.087	0.1097	0.965348	0.155214	0.970897
m.34749	285	0	3	0	3	2	1	0.618	0.9276	0.007331	0.000300	0.704625
m.3477	1085	41	46	34	37	65	26	0.345	1.5416	0.000001	0.000000	0.550899
m.34772	240	4	4	3	4	7	3	0.701	1.2019	0.000188	0.000007	0.623990
m.34788	177	2	1	1	0	1	0	-0.103	-0.1375	0.993586	0.275223	0.950308
m.34789	370	5	5	3	3	8	1	0.558	0.9446	0.005997	0.000243	0.698990
m.348	295	8	10	9	15	20	19	1.015	2.4931	0.000000	0.000000	0.429818
m.34809	103	0	2	0	1	3	0	0.267	0.3465	0.609962	0.053484	0.931762
m.3487	164	0	0	0	2	0	0	0.291	0.3977	0.501819	0.039353	0.914118
m.34882	162	0	0	0	1	1	0	-0.148	-0.1783	0.992145	0.290679	0.943377
m.3494	2140	216	394	221	338	303	176	0.478	5.6505	0.000000	0.000000	0.367956
m.3499	474	3	4	2	2	3	2	0.375	0.5400	0.240491	0.014446	0.856255
m.34991	288	8	13	6	8	7	4	0.644	1.3351	0.000023	0.000001	0.592210
m.34993	434	0	0	0	0	1	0	-0.109	-0.1346	0.993746	0.274061	0.950750
m.34996	174	2	3	3	2	4	2	0.205	0.3287	0.647233	0.059116	0.937266
m.3501	191	3	0	2	2	3	1	0.294	0.4394	0.416645	0.030019	0.898148
m.35012	113	0	0	0	2	0	1	0.232	0.3230	0.659031	0.060999	0.938952
m.35071	140	2	4	3	5	3	3	0.769	1.3683	0.000013	0.000000	0.584966
m.35136	334	5	4	3	7	7	5	1.139	2.1083	0.000000	0.000000	0.466820
m.35147	172	1	6	3	1	8	0	0.016	0.0238	0.996989	0.199953	0.968181
m.35210	516	0	0	2	0	0	0	-0.300	-0.3933	0.999995	0.344801	0.852697
m.3526	763	0	0	0	1	1	0	-0.092	-0.1168	0.994885	0.266747	0.953346
m.3530	1232	0	0	0	0	3	0	0.135	0.1726	0.910097	0.123532	0.967880
m.35307	214	1	0	0	0	0	0	-0.070	-0.0911	0.996765	0.255661	0.956779
m.35322	108	2	1	1	2	2	0	0.370	0.5458	0.231969	0.013802	0.853772
m.35335	197	1	2	2	0	2	2	-0.023	-0.0319	1.000000	0.228011	0.963489
m.3535	553	1	5	5	7	4	2	0.640	1.2286	0.000125	0.000005	0.617256
m.35429	187	0	2	2	5	1	3	0.834	1.4413	0.000004	0.000000	0.569898
m.3543	203	3	26	2	6	13	1	1.418	2.6057	0.000000	0.000000	0.421745
m.35438	157	0	0	1	1	3	1	0.133	0.1839	0.896801	0.118088	0.966796
m.3547	337	3	6	4	5	7	3	0.679	1.2618	0.000075	0.000003	0.609142
m.355	256	45	67	42	77	57	42	0.771	3.7349	0.000000	0.000000	0.379759
m.35511	123	3	3	2	2	3	2	0.354	0.5336	0.250119	0.015184	0.858993
m.35564	204	6	6	5	3	6	2	0.155	0.2652	0.772021	0.082228	0.953741
m.35589	142	0	2	0	1	0	1	-0.211	-0.2588	0.996014	0.316173	0.923444
m.35648	145	0	0	0	0	0	1	-0.074	-0.0889	0.996946	0.254684	0.957058
m.3565	211	0	0	1	0	0	0	-0.026	-0.0337	0.999989	0.228890	0.963309
m.3569	156	1	1	0	0	0	0	-0.041	-0.0552	0.999166	0.239214	0.961041
m.357	733	6	6	2	2	6	4	0.703	1.0634	0.001334	0.000052	0.662022
m.3586	360	3	1	2	2	3	2	0.324	0.4820	0.335970	0.022325	0.880806
m.35893	316	3	4	2	2	3	1	0.351	0.5296	0.256255	0.015661	0.860701
m.35895	213	10	3	3	4	3	3	0.602	1.0150	0.002512	0.000099	0.676582
m.35910	178	0	0	0	0	2	0	0.124	0.1580	0.925730	0.130696	0.969026
m.35911	133	12	8	6	11	11	5	1.029	2.3021	0.000000	0.000000	0.446078
m.35954	196	0	0	0	1	2	1	0.068	0.0894	0.976822	0.165763	0.970880
m.35966	105	0	4	0	0	2	0	0.113	0.1490	0.934503	0.135178	0.969594
m.35994	269	1	0	0	0	0	0	-0.080	-0.1000	0.996120	0.259569	0.955629
m.36003	135	9	8	5	6	10	3	0.753	1.4934	0.000001	0.000000	0.559804
m.36021	202	0	0	8	0	0	0	-1.068	-1.6558	0.000029	0.366871	0.000004
m.36024	385	0	0	0	2	0	2	0.397	0.5362	0.246180	0.014881	0.857881
m.36043	110	7	8	4	7	8	5	1.019	1.8400	0.000000	0.000000	0.502547
m.36049	334	20	29	16	39	13	21	1.168	3.8632	0.000000	0.000000	0.377917
m.3610	348	1	0	0	1	2	1	0.043	0.0593	0.988949	0.181496	0.970098
m.36158	113	13	15	10	17	15	8	0.942	2.5530	0.000000	0.000000	0.425411
m.3619	642	0	0	0	1	1	0	-0.038	-0.0487	0.999488	0.236127	0.961749
m.362	112	0	1	0	0	2	2	0.226	0.3028	0.700093	0.067979	0.944610
m.3621	404	2	1	2	2	2	1	0.113	0.1643	0.919198	0.127587	0.968566
m.36229	183	0	0	0	2	2	1	0.401	0.5339	0.249663	0.015149	0.858865
m.36235	154	1	1	1	7	0	0	1.161	2.0345	0.000000	0.000000	0.475886
m.3627	290	7	4	0	10	4	1	1.607	2.9476	0.000000	0.000000	0.401742
m.36293	247	7	7	3	6	7	6	1.057	1.9478	0.000000	0.000000	0.487299
m.36338	299	0	0	1	0	0	0	-0.153	-0.1855	0.992102	0.293230	0.941989
m.36358	231	2	1	0	0	1	1	-0.090	-0.1183	0.994797	0.267376	0.953135
m.36366	100	5	2	2	1	5	0	0.137	0.2062	0.867521	0.107640	0.964141
m.36412	362	3	5	3	6	6	2	0.953	1.7812	0.000000	0.000000	0.511328
m.36423	114	3	2	2	2	4	0	0.345	0.5447	0.233570	0.013923	0.854243
m.365	460	31	23	26	32	29	16	0.429	1.5717	0.000000	0.000000	0.545528
m.36655	249	4	6	6	11	4	2	0.900	1.8634	0.000000	0.000000	0.499142
m.36657	206	13	19	4	9	10	4	1.198	2.3364	0.000000	0.000000	0.442873
m.36658	156	10	10	7	18	15	13	1.400	3.5640	0.000000	0.000000	0.382714
m.36659	126	0	0	0	1	0	0	-0.024	-0.0324	1.000000	0.228255	0.963439
m.3666	213	43	79	36	75	55	31	0.907	4.9249	0.000000	0.000000	0.369247
m.3671	523	2	1	0	0	1	0	-0.062	-0.0811	0.997512	0.251187	0.958026
m.36731	170	16	17	14	10	15	4	0.140	0.4114	0.473339	0.036079	0.909006
m.3675	482	3	4	4	5	3	0	0.419	0.7500	0.047498	0.002183	0.768930
m.3689	731	7	9	8	13	14	10	0.875	2.0363	0.000000	0.000000	0.475657
m.3691	708	0	0	1	0	3	0	0.174	0.2220	0.844401	0.100498	0.961837
m.37006	248	0	0	0	0	1	0	-0.083	-0.1054	0.995710	0.261905	0.954912
m.37188	283	3	3	5	0	5	0	-0.327	-0.5088	0.999962	0.358150	0.726098
m.3719	533	2	0	0	0	0	0	-0.045	-0.0587	0.998972	0.240863	0.960651
m.3723	105	3	5	5	7	6	4	0.756	1.4724	0.000002	0.000000	0.563811
m.3733	331	0	0	1	0	0	2	0.066	0.0882	0.977417	0.166389	0.970866
m.37396	133	3	0	2	1	2	1	-0.137	-0.2010	0.992250	0.298541	0.938789
m.37430	123	0	1	1	1	2	1	0.095	0.1261	0.953914	0.146775	0.970578
m.3747	251	2	0	0	0	0	0	-0.009	-0.0114	0.999932	0.217865	0.965419
m.3754	202	0	4	0	0	2	0	0.130	0.1736	0.908962	0.123046	0.967791
m.37557	428	0	0	0	1	4	0	0.301	0.3846	0.529351	0.042681	0.918864
m.37594	113	1	0	0	0	1	0	-0.087	-0.1073	0.995580	0.262720	0.954656
m.3760	164	3	5	3	7	4	5	1.125	2.0407	0.000000	0.000000	0.475100
m.37637	179	17	17	15	13	24	17	0.351	1.0223	0.002287	0.000090	0.674343
m.37732	163	9	9	4	11	8	3	1.260	2.5699	0.000000	0.000000	0.424216
m.3774	882	4	3	2	3	3	2	0.497	0.7703	0.039228	0.001771	0.761070
m.37749	348	0	0	1	0	0	0	-0.086	-0.1104	0.995350	0.264044	0.954234
m.37753	190	0	0	1	0	1	0	-0.104	-0.1365	0.993640	0.274823	0.950461
m.3779	703	0	0	0	1	0	1	-0.093	-0.1227	0.994499	0.269205	0.952508
m.37798	118	1	5	3	2	5	3	0.338	0.5288	0.257493	0.015758	0.861043
m.378	200	30	36	20	39	34	20	0.993	3.5066	0.000000	0.000000	0.383846
m.37833	126	22	18	12	25	22	11	1.091	2.8608	0.000000	0.000000	0.406197
m.37859	172	5	4	4	2	4	1	-0.011	-0.0184	1.000000	0.221357	0.964784
m.3788	369	0	0	0	2	0	1	0.299	0.4088	0.478715	0.036684	0.909987
m.37922	139	5	9	7	12	10	7	0.968	2.1440	0.000000	0.000000	0.462661
m.37930	119	6	6	4	5	1	0	0.290	0.5109	0.286124	0.018055	0.868659
m.37938	177	0	2	0	1	3	0	0.138	0.1831	0.897776	0.118471	0.966879
m.3794	222	0	2	0	1	2	0	0.007	0.0087	0.998757	0.207701	0.967090
m.37941	99	3	0	0	0	1	1	-0.073	-0.0914	0.996746	0.255794	0.956741
m.37962	437	11	6	4	9	9	8	1.258	2.3490	0.000000	0.000000	0.441729
m.37963	226	8	0	3	3	9	1	0.556	0.9533	0.005403	0.000218	0.696140
m.38016	118	2	1	0	0	1	0	-0.099	-0.1252	0.994330	0.270237	0.952146
m.38017	121	8	8	5	0	5	5	-0.161	-0.2499	0.995102	0.313678	0.926240
m.38026	211	0	0	1	0	0	0	-0.139	-0.1828	0.992101	0.292279	0.942517
m.38034	178	1	2	2	1	3	2	0.123	0.1830	0.897898	0.118518	0.966889
m.38035	133	2	0	1	1	3	2	0.366	0.5073	0.292095	0.018548	0.870184
m.38037	198	12	24	15	28	14	15	0.938	2.9739	0.000000	0.000000	0.400489
m.38038	462	5	10	6	10	6	9	0.912	2.0658	0.000000	0.000000	0.471965
m.38041	516	6	0	0	0	0	0	-0.053	-0.0707	0.998238	0.246444	0.959274
m.38073	190	6	12	5	7	9	7	0.821	1.5641	0.000000	0.000000	0.546872
m.3808	609	37	7	22	19	26	24	0.210	0.6822	0.086127	0.004241	0.796085
m.38166	122	0	4	0	0	3	2	0.322	0.4191	0.457521	0.034329	0.906072
m.3817	410	3	1	4	4	4	2	0.424	0.7504	0.047322	0.002174	0.768774
m.3819	199	0	0	0	0	1	0	-0.176	-0.2172	0.992794	0.303826	0.935090
m.38264	113	0	0	0	0	2	0	0.063	0.0822	0.980229	0.169522	0.970772
m.3827	229	6	4	1	1	4	4	0.510	0.7349	0.054549	0.002542	0.774859
m.38282	359	5	2	5	5	3	2	0.340	0.6254	0.134536	0.007110	0.819767
m.38312	216	0	0	0	0	1	1	-0.058	-0.0748	0.997961	0.248325	0.958788
m.38315	119	2	0	0	0	0	0	-0.063	-0.0814	0.997493	0.251323	0.957990
m.38320	204	4	3	2	6	4	4	1.164	2.0836	0.000000	0.000000	0.469785
m.3835	317	0	1	1	1	2	0	0.069	0.0903	0.976377	0.165294	0.970890
m.38375	116	0	2	0	0	0	0	-0.118	-0.1552	0.992736	0.282135	0.947476
m.38396	326	0	1	0	0	2	0	0.119	0.1508	0.932801	0.134278	0.969489
m.384	422	82	185	101	160	115	133	0.558	4.5984	0.000000	0.000000	0.371030
m.38400	158	3	3	2	3	3	2	0.611	0.9445	0.006004	0.000244	0.699023
m.38413	128	2	0	1	0	1	1	-0.024	-0.0301	1.000000	0.227130	0.963667
m.3844	610	102	157	94	147	146	96	0.557	4.5918	0.000000	0.000000	0.371074
m.38468	195	0	3	3	0	6	2	0.177	0.2637	0.774736	0.082830	0.954066
m.38478	153	1	1	3	1	2	1	-0.293	-0.4210	0.999982	0.348804	0.829388
m.38509	319	0	0	0	2	1	0	0.277	0.3753	0.549010	0.045162	0.922142
m.38525	104	4	7	4	4	4	3	0.433	0.7326	0.055695	0.002602	0.775769
m.38547	130	0	1	0	2	3	0	0.434	0.6079	0.152870	0.008277	0.827193
m.38555	178	0	0	0	1	0	0	-0.057	-0.0718	0.998161	0.246950	0.959144
m.38570	122	2	1	1	0	2	0	0.139	0.1880	0.891719	0.116137	0.966360
m.38571	236	1	0	0	2	1	0	0.207	0.2895	0.726304	0.072835	0.948053
m.386	335	6	11	7	11	15	3	0.941	2.1888	0.000000	0.000000	0.457656
m.3862	708	3	0	1	2	2	1	0.371	0.5148	0.279736	0.017533	0.867005
m.38633	275	17	15	8	18	15	15	1.213	3.0326	0.000000	0.000000	0.397860
m.38685	106	1	1	3	0	1	1	-0.496	-0.6936	0.789556	0.366463	0.388980
m.38705	99	2	0	2	0	3	0	-0.043	-0.0576	0.999031	0.240345	0.960774
m.3872	704	2	1	1	5	9	3	1.370	2.1353	0.000000	0.000000	0.463660
m.38787	130	1	0	0	0	2	0	0.039	0.0467	0.992503	0.188073	0.969530
m.38797	138	0	1	0	0	0	0	-0.118	-0.1491	0.992990	0.279788	0.948479
m.388	373	0	2	0	0	1	0	-0.016	-0.0216	1.000000	0.222944	0.964486
m.38847	116	1	0	0	0	0	2	0.076	0.0980	0.972311	0.161284	0.970941
m.38848	117	0	0	0	0	0	2	0.031	0.0401	0.994041	0.191510	0.969182
m.38866	198	0	3	0	0	0	2	0.141	0.1942	0.883774	0.113212	0.965656
m.38878	127	3	0	0	1	0	0	-0.007	-0.0087	0.999846	0.216511	0.965657
m.39	352	2	3	1	1	2	0	0.020	0.0259	0.996671	0.198869	0.968321
m.3912	229	3	2	2	4	3	1	0.632	1.0544	0.001504	0.000058	0.664678
m.3914	142	13	12	6	11	9	9	1.013	2.1389	0.000000	0.000000	0.463246
m.392	136	21	25	16	41	32	24	1.249	4.3212	0.000000	0.000000	0.373157
m.3929	668	2	6	4	4	8	1	0.580	0.9991	0.003074	0.000122	0.681514
m.3936	244	15	17	10	16	13	9	0.884	2.1791	0.000000	0.000000	0.458719
m.395	594	0	0	1	1	2	3	0.345	0.4719	0.354377	0.023991	0.884989
m.3953	259	4	12	6	10	7	6	0.923	1.9131	0.000000	0.000000	0.492084
m.3970	459	2	10	6	8	6	4	0.646	1.3689	0.000013	0.000000	0.584837
m.3976	1422	0	1	1	0	2	0	0.115	0.1500	0.933561	0.134678	0.969536
m.3978	582	22	35	23	55	48	36	1.145	4.3948	0.000000	0.000000	0.372542
m.3981	180	4	1	7	0	9	5	-0.310	-0.5543	0.991234	0.361366	0.652341
m.3982	105	1	0	0	0	0	1	-0.025	-0.0318	1.000000	0.227962	0.963499
m.3988	161	4	3	2	1	6	1	0.209	0.2943	0.716931	0.071058	0.946837
m.3991	359	2	5	3	3	6	3	0.634	1.0083	0.002736	0.000108	0.678652
m.4	1370	62	127	40	74	75	53	0.799	3.9502	0.000000	0.000000	0.376832
m.4023	352	2	0	0	0	0	3	0.166	0.2201	0.847281	0.101345	0.962133
m.4025	297	0	1	0	0	0	0	-0.084	-0.1084	0.995499	0.263191	0.954507
m.4026	349	8	7	3	3	3	4	0.454	0.7087	0.068807	0.003292	0.785312
m.405	356	0	7	7	4	10	4	0.229	0.4356	0.424195	0.030793	0.899651
m.406	119	6	3	3	8	7	7	1.270	2.3670	0.000000	0.000000	0.440125
m.408	537	3	4	3	5	5	4	0.883	1.6365	0.000000	0.000000	0.534402
m.4092	124	63	60	46	73	70	46	0.653	3.6225	0.000000	0.000000	0.381635
m.4094	218	0	0	0	2	2	0	0.417	0.6169	0.143230	0.007658	0.823368
m.4111	173	1	2	3	1	4	3	0.115	0.1803	0.901150	0.119812	0.967160
m.4131	303	4	4	3	8	9	2	1.183	2.2092	0.000000	0.000000	0.455457
m.4166	132	1	2	1	3	3	1	0.758	1.0989	0.000824	0.000031	0.651767
m.4186	1024	2	0	1	0	0	4	0.377	0.5168	0.276492	0.017270	0.866155
m.4192	379	13	12	6	11	15	7	1.052	2.3135	0.000000	0.000000	0.444998
m.4212	929	35	34	20	32	37	17	0.789	2.8689	0.000000	0.000000	0.405762
m.4224	397	16	13	9	14	18	5	0.853	2.0591	0.000000	0.000000	0.472795
m.4229	273	6	6	6	0	10	2	-0.172	-0.2928	1.000000	0.324985	0.910856
m.423	229	16	20	17	23	17	10	0.586	1.9089	0.000000	0.000000	0.492671
m.4233	452	3	4	2	4	4	2	0.805	1.3081	0.000036	0.000001	0.598293
m.4234	287	0	0	0	3	0	0	0.573	0.8228	0.023272	0.001010	0.741353
m.4250	288	33	55	31	43	38	26	0.578	2.5770	0.000000	0.000000	0.423719
m.426	811	6	3	4	5	7	7	0.789	1.3671	0.000014	0.000000	0.585223
m.4268	630	0	0	0	1	0	1	-0.077	-0.0892	0.996924	0.254818	0.957020
m.4279	306	0	3	0	1	3	0	0.227	0.2962	0.713192	0.070363	0.946347
m.428	332	8	8	9	8	15	8	0.441	0.9720	0.004305	0.000173	0.690093
m.4286	402	4	3	3	3	6	2	0.633	1.0727	0.001177	0.000045	0.659301
m.429	369	0	1	1	2	4	2	0.682	0.9772	0.004038	0.000161	0.688430
m.4296	880	0	0	1	0	0	0	-0.147	-0.1820	0.992114	0.291996	0.942671
m.43	257	12	6	4	7	15	3	0.953	1.9218	0.000000	0.000000	0.490873
m.4309	396	5	6	4	5	7	1	0.636	1.1706	0.000298	0.000011	0.632126
m.431	153	0	1	0	0	0	0	-0.030	-0.0379	0.999886	0.230932	0.962883
m.4326	136	3	1	2	3	3	6	0.803	1.2725	0.000063	0.000002	0.606587
m.4327	322	12	5	6	3	1	6	-0.006	-0.0103	0.999886	0.217314	0.965517
m.4330	257	1	3	0	3	3	0	0.724	1.0708	0.001208	0.000047	0.659855
m.4332	180	1	0	3	2	0	0	-0.101	-0.1480	0.993045	0.279361	0.948657
m.4337	518	0	1	0	1	1	0	-0.123	-0.1651	0.992392	0.285863	0.945781
m.4350	198	5	3	3	0	3	1	-0.184	-0.2662	0.996854	0.318187	0.920974
m.4353	392	21	24	17	22	23	12	0.600	1.9456	0.000000	0.000000	0.487599
m.4356	640	3	6	5	5	6	4	0.535	1.0603	0.001390	0.000054	0.662934
m.4358	403	5	5	4	8	7	2	0.993	1.9476	0.000000	0.000000	0.487326
m.4359	370	2	6	1	3	4	2	0.910	1.3763	0.000012	0.000000	0.583258
m.4371	294	2	3	0	0	2	1	0.198	0.2611	0.779413	0.083878	0.954621
m.4386	383	14	25	15	26	34	10	0.891	2.9155	0.000000	0.000000	0.403334
m.4387	576	6	6	2	4	5	0	0.810	1.3220	0.000029	0.000001	0.595139
m.4396	851	0	0	0	0	0	2	-0.018	-0.0252	1.000000	0.224723	0.964144
m.44	328	4	7	3	6	6	6	1.038	1.9684	0.000000	0.000000	0.484516
