Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.1060	147	3	6	3	0	3	2	-0.079	-0.1200	0.994673	0.268085	0.952894
m.10603	487	5	5	2	4	4	0	0.780	1.2474	0.000094	0.000003	0.612627
m.10605	698	5	3	2	4	7	2	0.873	1.4672	0.000002	0.000000	0.564816
m.10621	420	3	8	2	4	5	9	1.027	1.7043	0.000000	0.000000	0.523316
m.10638	702	1	1	0	0	3	2	0.355	0.4863	0.328284	0.021643	0.879014
m.10645	257	1	2	1	0	3	0	0.216	0.2949	0.715753	0.070838	0.946683
m.1069	424	14	15	10	12	15	9	0.700	1.6184	0.000000	0.000000	0.537454
m.10693	451	5	0	0	1	0	0	-0.099	-0.1235	0.994440	0.269536	0.952392
m.107	99	14	24	14	24	22	16	0.915	2.6802	0.000000	0.000000	0.416847
m.10713	218	30	26	19	35	30	23	0.950	3.0356	0.000000	0.000000	0.397732
m.10714	429	14	14	15	10	15	11	0.128	0.3406	0.622373	0.055309	0.933626
m.10723	443	0	1	3	1	2	2	-0.176	-0.2476	0.994892	0.313021	0.926933
m.10726	1630	10	10	7	11	20	5	0.997	2.1793	0.000000	0.000000	0.458697
m.1073	371	5	7	4	4	5	2	0.453	0.7647	0.041378	0.001877	0.763225
m.1074	292	4	6	3	9	8	4	1.330	2.5767	0.000000	0.000000	0.423740
m.10744	282	12	10	8	18	10	11	1.158	2.7936	0.000000	0.000000	0.409956
m.10807	572	44	51	40	51	55	32	0.457	2.0737	0.000000	0.000000	0.470993
m.10812	189	4	3	0	5	1	2	0.989	1.6594	0.000000	0.000000	0.530599
m.10816	192	7	6	3	8	10	4	1.283	2.4268	0.000000	0.000000	0.435045
m.10818	372	6	1	3	2	5	1	0.199	0.3288	0.647025	0.059083	0.937236
m.10831	206	1	0	1	3	3	6	1.025	1.5367	0.000001	0.000000	0.551787
m.10852	208	1	3	1	2	5	1	0.589	0.8716	0.013840	0.000583	0.723819
m.10862	241	0	2	0	0	0	0	-0.078	-0.0946	0.996508	0.257206	0.956332
m.10878	258	1	0	1	0	1	0	-0.152	-0.1971	0.992181	0.297228	0.939623
m.10883	471	33	31	18	44	41	21	1.231	4.3151	0.000000	0.000000	0.373209
m.1089	117	26	28	16	23	23	15	0.756	2.4720	0.000000	0.000000	0.431438
m.10893	298	32	56	28	53	37	13	0.868	3.7315	0.000000	0.000000	0.379812
m.10901	228	0	2	0	2	2	1	0.385	0.5545	0.219547	0.012881	0.850043
m.10905	398	3	7	6	8	12	5	0.800	1.5393	0.000001	0.000000	0.551316
m.10909	251	3	0	4	0	1	0	-0.630	-0.9290	0.260079	0.367624	0.085003
m.10914	217	13	10	5	11	9	8	1.141	2.4929	0.000000	0.000000	0.429833
m.10928	723	8	5	4	5	5	3	0.619	1.0820	0.001038	0.000040	0.656604
m.10938	346	3	7	7	16	10	5	1.188	2.6518	0.000000	0.000000	0.418677
m.10939	1302	4	7	2	6	6	4	1.224	2.1365	0.000000	0.000000	0.463522
m.10942	329	0	0	0	1	1	0	-0.135	-0.1777	0.992154	0.290464	0.943491
m.10944	532	0	2	2	1	2	0	-0.198	-0.2621	0.996379	0.317078	0.922360
m.10974	566	9	10	3	9	11	4	1.454	2.8222	0.000000	0.000000	0.408325
m.110	1165	81	147	86	112	129	73	0.396	2.8094	0.000000	0.000000	0.409050
m.1100	513	7	6	6	10	6	7	0.920	1.9847	0.000000	0.000000	0.482345
m.11021	150	1	1	0	0	3	0	0.245	0.3139	0.677692	0.064084	0.941563
m.1103	1107	0	4	0	2	0	0	0.248	0.3494	0.603844	0.052602	0.930832
m.11035	299	6	8	4	4	4	0	0.350	0.6166	0.143544	0.007678	0.823495
m.11041	876	0	0	0	0	1	0	-0.133	-0.1646	0.992404	0.285677	0.945869
m.11045	121	3	6	2	7	2	1	1.036	1.7783	0.000000	0.000000	0.511770
