m.34074	300	3	1	4	1	0	0
m.3410	419	2	3	3	2	2	2
m.34157	102	1	1	0	2	2	2
m.34189	296	3	3	3	2	2	4
m.342	284	1	1	2	3	4	3
m.34230	432	0	0	0	0	0	1
m.11921	315	2	0	0	2	1	1
m.3426	883	1	1	1	0	0	0
m.34307	327	0	1	0	1	2	0
m.34320	345	2	4	1	2	3	3
m.34388	510	0	2	2	1	1	3
m.34428	306	5	3	4	0	0	0
m.3444	334	1	1	2	2	3	3
m.34462	419	2	1	1	0	0	0
m.34604	140	1	1	3	0	0	0
m.34605	160	0	1	2	0	0	1
m.3462	8400	18	17	24	8	10	10
m.11924	283	0	1	0	0	0	0
m.3463	3039	9	7	8	5	4	5
m.34688	318	2	3	4	4	3	4
m.347	455	15	14	17	12	13	11
m.3477	1085	11	10	12	7	7	10
m.34772	240	0	2	0	0	0	1
m.34788	177	1	1	1	1	1	0
m.348	295	4	4	5	3	6	3
m.34844	166	0	1	0	1	0	0
m.3494	2140	69	74	73	77	79	78
m.11933	202	0	0	0	0	1	1
m.34991	288	3	2	3	3	3	1
m.34996	174	1	1	1	0	0	1
m.35071	140	2	3	0	0	1	1
m.35136	334	3	2	1	1	1	0
m.35147	172	2	3	2	2	1	1
m.3530	1232	1	2	1	0	0	0
m.35307	214	0	1	0	1	1	0
m.3535	553	0	0	0	1	0	1
m.3543	203	2	1	1	3	4	4
m.3547	337	1	0	0	1	0	2
m.355	256	12	12	13	12	12	13
m.35564	204	3	3	2	4	4	3
m.357	733	2	1	2	3	3	3
m.3586	360	0	0	1	0	0	0
m.35895	213	3	2	1	1	1	1
m.35911	133	4	4	4	5	4	3
m.35966	105	1	1	1	0	0	1
m.12002	156	0	1	1	1	1	1
m.36003	135	2	2	2	4	4	3
m.3619	642	0	0	1	0	0	1
m.36235	154	1	1	0	1	0	1
m.36293	247	2	2	2	1	2	2
m.36366	100	1	1	0	0	0	0
m.36412	362	1	2	2	1	1	1
m.365	460	5	6	5	5	2	2
m.12007	433	4	2	1	2	1	3
m.36655	249	2	1	2	1	0	0
