m.11872	568	2	1	0	0	1	0
m.11876	224	3	2	2	0	2	0
m.1188	293	10	13	11	8	11	6
m.11898	748	0	3	1	0	0	0
m.11907	647	0	0	1	0	0	0
m.11921	315	0	0	0	1	1	1
m.11924	283	1	2	0	0	0	3
m.11933	202	3	3	1	2	2	1
m.11971	202	1	2	0	0	0	0
m.11993	245	0	0	1	0	0	1
m.11995	326	11	7	7	14	8	4
m.12002	156	3	5	4	3	4	2
m.12007	433	16	17	13	8	11	14
m.12009	511	6	7	4	1	8	2
m.12028	524	0	1	0	1	3	0
m.12035	180	1	5	2	5	4	3
m.1204	135	1	2	0	2	0	0
m.12048	569	23	30	13	18	25	11
m.12051	247	4	5	1	4	3	2
m.12056	309	5	3	4	1	3	2
m.12069	191	0	0	0	1	1	0
m.12097	491	1	1	0	0	0	0
m.12124	155	2	6	0	5	2	2
m.12129	447	157	179	95	104	216	110
m.1215	381	8	10	5	6	14	4
m.12175	403	6	7	4	6	8	5
m.12185	535	9	7	2	6	6	2
m.12229	471	59	56	32	37	58	29
m.1223	739	3	9	3	4	5	3
m.12238	232	45	40	27	35	45	27
m.12306	644	2	2	1	1	4	3
m.12326	225	3	4	0	1	2	0
m.12334	1458	6	10	3	7	7	3
m.1235	511	3	6	3	9	4	3
m.12364	195	0	3	0	0	0	0
m.1238	450	4	6	1	7	7	4
m.1240	151	0	0	1	0	0	0
m.12417	694	6	12	6	7	8	5
m.1245	204	38	48	26	40	45	32
m.1249	263	22	14	11	6	31	14
m.12517	148	1	0	1	0	0	1
m.12521	914	32	30	22	28	29	20
m.12550	201	7	6	6	5	4	3
m.12589	426	0	2	0	2	0	2
m.12606	311	4	4	5	0	1	1
m.1261	196	4	2	4	3	9	3
m.12642	195	73	59	40	48	65	39
m.12643	211	1	4	0	2	2	1
m.12644	250	0	0	0	1	0	0
m.12647	377	0	1	0	0	2	0
m.12648	162	4	2	1	3	3	0
m.1265	381	2	0	1	0	0	1
m.12659	176	0	0	3	0	0	0
m.12662	470	23	19	14	16	16	15
m.12676	293	1	1	0	1	2	2
m.12686	459	1	4	1	3	4	4
m.12693	1749	20	26	14	23	17	22
m.12695	530	2	1	1	0	3	1
m.12698	142	17	11	7	7	13	6
m.12699	199	19	17	12	15	18	9
m.12709	550	26	26	15	23	30	16
m.12711	510	8	2	2	3	8	4
m.12713	362	0	0	0	0	1	0
m.12716	167	7	4	4	4	4	2
m.12721	179	0	1	5	3	0	1
m.12722	407	3	7	2	6	6	4
m.12724	296	0	0	0	3	0	2
m.12725	224	22	22	16	19	26	17
m.12732	698	35	33	24	31	38	24
m.12733	700	16	18	4	12	14	8
m.12740	434	21	21	12	14	19	15
m.12744	483	4	5	1	5	4	2
m.12757	255	22	14	12	16	18	8
m.12762	252	9	7	29	8	0	11
m.12764	395	2	2	1	0	2	1
m.12766	325	0	0	2	0	0	0
m.12770	763	5	3	1	1	3	1
m.12778	145	1	2	1	2	2	2
m.12781	500	4	3	1	4	4	3
m.12786	174	0	0	3	2	0	0
m.12790	138	14	9	1	6	9	5
m.12795	196	1	0	0	1	1	0
m.12796	156	21	16	15	13	18	10
m.12799	378	9	7	8	7	7	6
m.1281	317	1	2	0	1	2	0
m.12810	529	27	24	12	5	22	18
m.12813	219	13	9	8	8	6	7
m.12818	193	33	28	13	21	37	18
m.12824	377	27	37	21	28	15	18
m.12825	688	4	5	3	0	2	2
m.12829	263	2	4	2	4	2	1
m.1283	112	9	11	4	8	5	5
m.12839	312	8	6	2	4	10	3
m.12859	409	1	0	1	0	0	0
m.1286	2829	730	643	466	491	771	434
m.12872	385	5	7	5	8	4	6
m.12890	232	0	7	2	2	2	2
m.12895	388	4	3	0	4	0	1
m.129	503	5	5	1	4	6	4
m.12917	415	1	3	2	4	3	1
m.12931	406	1	0	0	0	0	1
m.12941	323	29	14	19	18	22	10
m.12945	765	2	1	1	0	1	1
m.1296	468	14	13	9	12	13	6
m.12970	372	12	8	5	2	10	7
m.12976	264	5	8	4	4	7	2
m.12982	418	6	8	5	10	7	6
m.12989	486	0	0	0	0	1	0
m.12991	100	61	53	33	34	71	38
m.12999	500	5	3	2	1	6	2
m.1301	177	15	25	17	14	22	12
m.13014	751	0	1	0	0	1	0
m.13024	171	0	3	1	0	0	1
m.13026	699	1	5	1	4	1	1
m.13039	212	0	0	2	2	0	0
m.13050	236	0	4	1	0	4	1
m.13075	235	5	5	2	6	6	2
m.13082	610	0	0	2	1	2	2
m.13085	424	9	8	5	7	10	5
m.13089	190	11	15	8	13	9	6
m.13090	174	9	8	4	9	9	4
m.13091	557	6	5	2	4	9	2
m.13094	265	0	0	4	0	0	0
m.13107	529	5	14	8	12	5	5
m.13119	549	13	12	2	14	18	10
m.13131	436	10	16	8	16	10	11
m.13133	304	17	15	17	15	9	12
m.13136	222	2	3	1	3	3	2
m.13171	608	0	1	0	0	1	1
m.13173	263	0	1	0	0	0	0
m.13180	357	9	4	7	7	1	2
m.13191	264	11	10	7	8	10	6
m.13197	189	6	3	6	4	6	4
m.132	146	0	0	1	1	0	0
m.13206	240	5	11	0	6	8	1
m.13208	752	0	0	0	0	0	1
m.13218	683	4	1	0	4	0	1
m.13226	326	10	13	7	4	11	3
m.13233	253	13	5	8	0	13	5
m.13240	197	7	9	3	6	6	3
m.13248	748	1	0	0	1	0	0
m.1328	203	2	2	1	0	2	0
m.13287	313	2	1	1	3	0	1
m.13295	297	1	7	2	4	5	2
m.133	397	2	3	1	3	3	1
m.13303	395	2	4	1	0	4	2
m.13314	295	23	20	23	19	30	8
m.1334	391	4	4	2	1	3	2
m.13347	625	0	0	0	0	1	0
m.13356	586	10	1	1	2	1	1
m.13371	1200	18	29	14	9	14	11
m.1339	464	9	24	10	11	9	10
m.134	169	7	5	4	4	4	2
m.13409	233	11	9	7	9	7	5
m.13423	531	11	11	8	11	11	8
m.13424	343	1	2	0	1	2	2
m.13425	114	0	1	1	1	0	0
m.13427	257	2	2	1	3	0	0
m.13432	425	1	2	0	0	0	1
m.13434	1309	1	1	1	1	0	0
m.13436	653	8	13	4	13	10	6
m.13443	372	59	35	28	19	54	30
m.13444	605	9	9	5	3	10	8
m.13448	293	9	8	3	3	12	6
m.1346	158	18	21	13	26	25	13
m.13471	151	8	5	5	3	5	7
m.13475	469	7	10	7	18	10	5
m.13476	183	5	3	2	5	0	3
m.13486	292	41	30	32	15	37	25
m.13488	163	3	3	2	0	5	3
m.13490	255	19	12	9	12	15	8
m.13492	741	0	1	0	0	0	0
m.13513	367	3	3	0	1	2	2
m.13514	432	3	6	2	2	2	2
m.13516	189	23	20	14	15	23	16
m.13531	269	1	6	2	5	5	3
m.13540	365	0	1	2	1	0	2
m.1355	1555	14	13	9	11	14	10
m.13557	339	10	7	6	3	4	3
m.13574	515	10	6	7	6	9	3
m.13590	549	41	37	30	28	36	22
m.13617	393	2	5	2	3	5	3
m.13622	146	3	4	2	4	3	2
m.13637	665	0	2	0	1	2	0
m.13659	548	1	3	3	1	3	1
m.1369	374	174	166	124	163	195	112
m.13710	208	1	1	2	2	1	2
m.13716	211	0	0	0	1	0	0
m.13720	455	0	0	0	3	0	0
m.1373	177	1	1	0	0	3	1
m.13742	710	1	1	0	0	0	1
m.13743	311	22	23	12	21	21	16
m.13744	138	6	7	2	6	5	3
m.13748	486	0	1	0	1	1	2
m.13753	335	4	8	5	1	7	3
m.13791	176	0	1	2	0	0	1
m.13811	436	3	5	4	0	1	1
m.13842	680	13	30	19	25	40	20
m.13862	447	13	8	6	11	14	8
m.13863	1106	17	42	1	11	25	13
m.13869	191	4	5	3	0	4	1
m.13885	1031	0	1	0	3	1	4
m.139	190	12	13	5	10	9	6
m.1390	448	51	35	22	35	40	26
m.13903	193	3	3	1	2	3	2
m.13957	123	0	1	1	2	1	0
m.1396	509	3	3	2	3	3	1
m.13977	445	52	30	29	23	33	21
m.14053	115	0	0	2	0	1	0
m.1408	226	5	19	2	15	16	8
m.14083	1506	3	1	2	0	2	1
m.141	436	105	92	62	66	92	53
m.14108	268	4	2	1	2	4	0
